Tên doanh nghiệp,Mã cổ phiếu
CTCP Đầu tư và xây dựng 40,L40
CTCP Xây dựng Lilama 45 – 3,L43
CTCP Xây dựng Lilama 69 – 3,L61
CTCP Xây dựng Lilama 69 – 2,L62
CTCP Lắp máy – Thí nghiệm Cơ điện,LCD
CTCP Licogi 16,LCG
CTCP Licogi 166,LCS
CTCP Đầu tư LDG,LDG
Công ty bất động sản điện lực Miền Trung,LEC
CTCP đầu tư cầu đường CII,LGC
CTCP Đầu tư và phát triển đô thị Long Giang,LGL
CTCP Đầu tư và xây dựng thủy lợi Lâm Đồng,LHC
CTCP Long Hậu,LHG
CTCP Licogi 13,LIG
CTCP Lilama 7,LM7
CTCP Lilama 18,LM8
CTCP Đầu tư xây dựng Lương Tài,LUT
CTCP Đầu tư và Xây dựng BDC Việt Nam,MCO
CTCP Đầu tư MST,MST
CTCP Đầu tư Năm Bảy Bảy,NBB
CTCP Đầu tư phát triển Nhà Đà Nẵng,NDN
CTCP Xây lắp phát triển nhà Đà Nẵng,NDX
Công ty đầu tư phát triển nhà và đô thị Nam Hà Nội,NHA
CTCP đầu tư Nam Long,NLG
CTCP Tập đoàn Danh Khôi,NRC
CTCP Phát triển đô thị Từ Liêm,NTL
CTCP Tập đoàn Đầu tư Địa ốc No Va,NVL
CTCP Xây lắp Điện I,PC1
CTCP Phát triển Bất động sản Phát Đạt,PDR
CTCP Tập đoàn III Petrolimex,PEN
CTCP Xây dựng Phục Hưng Holdings,PHC
CTCP Dịch vụ kỹ thuật điện lực dầu khí Việt Nam,PPS
CTCP Đầu tư và xây dựng Bưu điện,PTC
CTCP Thiết kế xây dựng thương mại Phúc Thịnh,PTD
CTCP đầu tư và xây dựng dầu khí,PTL
CTCP Đầu tư PV 2,PV2
CTCP Đầu tư nhà đất,PVL
CTCP Xây dựng Công nghiệp và Dân dụng Dầu khí,PXI
CTCP kết cấu kim loại và lắp máy dầu khí,PXS
CTCP Quốc Cường Gia Lai,QCG
CTCP Công trình giao thông vận tải Quảng Nam,QTC
CTCP Địa ốc Chợ Lớn,RCL
CTCP Cơ điện lạnh,REE
CTCP Sông Đà 505,S55
CTCP Xây dựng số 5,SC5
CTCP SCI EC,SCI
CTCP Địa ốc Sài Gòn Thường Tín,SCR
CTCP Sông Đà 2,SD2
CTCP Sông Đà 4,SD4
CTCP Sông Đà 5,SD5
CTCP Sông Đà 6,SD6
CTCP Sông Đà 9,SD9
CTCP Sông Đà 10,SDT
CTCP Đầu tư và xây dựng phát triển đô thị sông Đà,SDU
CTCP Địa Ốc Sài Gòn,SGR
CTCP Sông Đà 1 – 01,SJC
CTCP Sông Đà 11,SJE
CTCP Đầu tư phát triển đô thị và khu công nghiệp Sông Đà,SJS
CTCP Kỹ Nghệ Lạnh,SRF
CTCP Sonadezi Long Bình,SZB
CTCP Sonadezi Châu Đức,SZC
CTCP Sonadezi Long Thành,SZL
CTCP Xây lắp Thành An 96,TA9
CTCP Đầu tư phát triển công nghiệp và vận tải,TCD
CTCP đầu tư dịch vụ tài chính Hoàng Huy,TCH
CTCP Phát triển và kinh doanh Bình Dương,TDC
CTCP Phát triển nhà Thủ Đức,TDH
CTCP Thái Holding,THD
CTCP Tập đoàn đầu tư Thăng Long,TIG
CTCP phát triển khu công nghiệp Tín Nghĩa,TIP
CTCP Sản xuất Kinh doanh Xuất nhập khẩu Dịch vụ và Đầu tư Tân Bình,TIX
CTCP Xây dựng và kinh doanh địa ốc Tấn Kỳ,TKC
CTCP Thương Mại và dịch vụ TNS Holdings,TN1
CTCP dịch vụ kỹ thuật Viễn Thông,TST
CTCP Tổng công ty Thăng Long,TTL
CTCP Xây dựng và Phát triển tỉnh Bà Rịa Vũng Tàu,UDC
CTCP Xây dựng số 12,V12
CTCP Vinaconex 21,V21
CTCP xây dựng số 1,VC1
CTCP Đầu tư và xây dựng Vina2,VC2
CTCP tập đoàn Nam Mê Kông,VC3
CTCP Xây dựng và đầu tư Visicons,VC6
CTCP tập đoàn BGI,VC7
CTCP Xây dựng số 9,VC9
CTCP Vinaconex 25,VCC
CTCP xuất nhập khẩu và xây dựng Việt Nam,VCG
CTCP Xây dựng điện Vneco 1,VE1
CTCP Xây dựng điện Vneco2,VE2
CTCP Xây dựng điện Vneco3,VE3
CTCP Xây dựng điện Vneco4,VE4
CTCP Xây dựng điện Vneco 8,VE8
CTCP Vinhomes,VHM
CTCP Tập đoàn Vingroup,VIC
CTCP Vimeco,VMC
CTCP khoáng sản đầu tư Visaco,VMI
CTCP Xây dựng điện Việt Nam,VNE
CTCP Vạn Phát Hưng,VPH
CTCP Đầu tư Văn Phú,VPI
CTCP Bất động sản và đầu tư VRC,VRC
CTCP Vincom Retail,VRE
CTCP Đầu tư và xây dựng cấp thoát nước,VSI
CTCP Xây dựng Vật Liệu Bến Tre,VXB
